"","Beebase","FBO_Module","FBO_DEG_Type","active_bias","sterile_bias","Entrez","D_melanogaster_Protein_ID","D_melanogaster_Gene_ID","accession","Gene_name"
"8671","GB49101","FBO  3",NA,NA,NA,"410969","FBpp0080747","FBgn0032782","XM_006558388.1"," PREDICTED: Apis mellifera ras-related protein Rab-9A-like (LOC410969), transcript variant X1, mRNA"
"8672","GB49102","FBO  11",NA,NA,NA,"724920","#N/A","#N/A","XM_001120820.3"," PREDICTED: Apis mellifera uncharacterized LOC724920 (LOC724920), mRNA"
"8673","GB49103","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"8674","GB49104","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006558378.1"," PREDICTED: Apis mellifera ecdysteroid-regulated gene E74 (E74), transcript variant X9, mRNA"
"8675","GB49105","FBO  1","Sterile",NA,NA,"408758","FBpp0074967","FBgn0000567","XM_006558379.1"," PREDICTED: Apis mellifera ecdysteroid-regulated gene E74 (E74), transcript variant X10, mRNA"
"8676","GB49106","FBO  6",NA,"paternal","paternal","551291","FBpp0072672","FBgn0250789","XM_006558395.1"," PREDICTED: Apis mellifera spectrin alpha chain-like (LOC551291), mRNA"
"8677","GB49107","FBO  2","Reproductive",NA,NA,"412464","FBpp0071905","FBgn0010660","XM_395921.5"," PREDICTED: Apis mellifera nuclear pore complex protein Nup214 (Nup214), mRNA"
"8678","GB49108","FBO  3",NA,NA,NA,"551430","FBpp0073429","FBgn0030358","XM_623822.3"," PREDICTED: Apis mellifera PDZ domain-containing protein 8-like (LOC551430), mRNA"
"8679","GB49109","FBO  8",NA,NA,NA,NA,"#N/A","#N/A","XM_623850.4"," PREDICTED: Apis mellifera leucine-rich repeat-containing protein 20-like (LOC551458), transcript variant X2, mRNA"
"8680","GB49110","FBO  16",NA,NA,NA,"551458","FBpp0073430","FBgn0030357","XM_006558403.1"," PREDICTED: Apis mellifera leucine-rich repeat-containing protein 20-like (LOC551458), transcript variant X3, mRNA"
"8681","GB49111","FBO  6",NA,NA,NA,"724510","FBpp0071077","FBgn0003656","XR_407839.1"," PREDICTED: Apis mellifera neuropathy target esterase sws (sws), transcript variant X4, misc_RNA"
"8682","GB49112","FBO  4",NA,NA,NA,"410076","FBpp0288805","FBgn0263398","XM_393563.5"," PREDICTED: Apis mellifera uridine-cytidine kinase-like protein (LOC410076), transcript variant X1, mRNA"
"8683","GB49113","FBO  12",NA,NA,NA,NA,"#N/A","#N/A","XM_393563.5"," PREDICTED: Apis mellifera uridine-cytidine kinase-like protein (LOC410076), transcript variant X1, mRNA"
"8684","GB49114","FBO  9","Reproductive",NA,NA,"411404","FBpp0070561","FBgn0029672","XM_394878.4"," PREDICTED: Apis mellifera nucleolar complex protein 4 homolog B-like (LOC411404), transcript variant X2, mRNA"
"8685","GB49115","FBO  3",NA,NA,NA,"411403","#N/A","#N/A","XM_394877.5"," PREDICTED: Apis mellifera high affinity copper uptake protein 1-like (LOC411403), transcript variant X3, mRNA"
"8686","GB49116","FBO  12",NA,NA,NA,"413708","FBpp0075743","FBgn0036271","XM_006558417.1"," PREDICTED: Apis mellifera porphobilinogen synthase (Pbgs), transcript variant X1, mRNA"
"8687","GB49117","FBO  4",NA,NA,NA,"409587","FBpp0073445","FBgn0001218","NM_001160052.1"," Apis mellifera heat shock 70 kDa protein cognate 3 (Hsc70-3), mRNA"
"8688","GB49118","FBO  3",NA,NA,NA,NA,"FBpp0073558","FBgn0030457","XM_006558450.1"," PREDICTED: Apis mellifera 26S proteasome non-ATPase regulatory subunit 5-like (LOC102654919), partial mRNA"
"8689","GB49119","FBO  12",NA,NA,NA,"412294","FBpp0081082","FBgn0037504","XM_395755.5"," PREDICTED: Apis mellifera deoxynucleotidyltransferase terminal-interacting protein 2-like (LOC412294), mRNA"
"8690","GB49120","FBO  2","Reproductive",NA,NA,"413448","FBpp0110324","FBgn0003079","XM_396892.4"," PREDICTED: Apis mellifera Raf kinase, effector of Ras (Raf1), mRNA"
"8691","GB49121","FBO  8",NA,NA,NA,NA,"#N/A","#N/A","XM_006558424.1"," PREDICTED: Apis mellifera uncharacterized LOC100577638 (LOC100577638), transcript variant X4, mRNA"
"8692","GB49122","FBO  14",NA,NA,NA,NA,"#N/A","#N/A","XM_006558423.1"," PREDICTED: Apis mellifera uncharacterized LOC100577638 (LOC100577638), transcript variant X3, mRNA"
"8693","GB49123","FBO  3",NA,NA,NA,"100577638","#N/A","#N/A","XM_003249256.2"," PREDICTED: Apis mellifera uncharacterized LOC100577638 (LOC100577638), transcript variant X1, mRNA"
"8694","GB49124","FBO  4",NA,NA,NA,"411563","FBpp0078854","FBgn0025742","XM_395034.5"," PREDICTED: Apis mellifera myotubularin related protein 2 (MTMR2), transcript variant X1, mRNA"
"8695","GB49125","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XR_407843.1"," PREDICTED: Apis mellifera uncharacterized LOC102656527 (LOC102656527), ncRNA"
"8696","GB49126","FBO  4",NA,NA,NA,"410970","FBpp0112066","FBgn0035879","XM_394446.5"," PREDICTED: Apis mellifera Rab GTPase activating protein 6 (RabGAP6), transcript variant X3, mRNA"
"8697","GB49127","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XR_407844.1"," PREDICTED: Apis mellifera uncharacterized LOC102656892 (LOC102656892), transcript variant X1, ncRNA"
"8698","GB49128","FBO  13",NA,NA,NA,NA,NA,NA,NA,NA
"8699","GB49129","FBO  2","Reproductive",NA,NA,"408761","FBpp0073371","FBgn0014133","XM_392295.4"," PREDICTED: Apis mellifera bifocal (bif), transcript variant 2, mRNA"
"8700","GB49130","FBO  2","Reproductive",NA,NA,NA,"#N/A","#N/A","XM_392295.4"," PREDICTED: Apis mellifera bifocal (bif), transcript variant 2, mRNA"
"8701","GB49131","FBO  1",NA,NA,NA,NA,"FBpp0293273","FBgn0260446","XM_392294.5"," PREDICTED: Apis mellifera metabotropic GABA-B receptor subtype 1 (GABA-B-R1), transcript variant X3, mRNA"
"8702","GB49132","FBO  2","Reproductive",NA,NA,"410972","FBpp0087063","FBgn0033737","XM_006558442.1"," PREDICTED: Apis mellifera nucleoporin 54kDa (NUP54), transcript variant X1, mRNA"
"8703","GB49134","FBO  7",NA,NA,NA,NA,"#N/A","#N/A","XR_407850.1"," PREDICTED: Apis mellifera uncharacterized LOC102653875 (LOC102653875), ncRNA"
"8704","GB49135","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XR_407854.1"," PREDICTED: Apis mellifera uncharacterized LOC102654134 (LOC102654134), transcript variant X2, ncRNA"
"8705","GB49137","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"8706","GB49138","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XR_119788.2"," PREDICTED: Apis mellifera uncharacterized LOC100578353 (LOC100578353), transcript variant X2, misc_RNA"
"8707","GB49139","FBO  15",NA,NA,NA,"551057","FBpp0071023","FBgn0029943","XM_623453.3"," PREDICTED: Apis mellifera autophagy-specific gene 5 (Atg5), mRNA"
"8708","GB49140","FBO  11",NA,NA,NA,NA,"#N/A","#N/A","XM_006558446.1"," PREDICTED: Apis mellifera uncharacterized LOC410975 (LOC410975), transcript variant X2, mRNA"
"8709","GB49141","FBO  8",NA,NA,NA,NA,NA,NA,NA,NA
"8710","GB49142","FBO  2","Reproductive",NA,NA,NA,"#N/A","#N/A","XM_394687.4"," PREDICTED: Apis mellifera discoidin domain-containing receptor 2-like (LOC411213), transcript variant X2, mRNA"
"8711","GB49143","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XR_410924.1"," PREDICTED: Apis mellifera uncharacterized LOC102654364 (LOC102654364), ncRNA"
"8712","GB49144","FBO  4",NA,NA,NA,NA,"#N/A","#N/A","XR_407625.1"," PREDICTED: Apis mellifera uncharacterized LOC102653628 (LOC102653628), ncRNA"
"8713","GB49145","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"8714","GB49146","FBO  6",NA,NA,NA,"412924","FBpp0073119","FBgn0004574","XM_396375.5"," PREDICTED: Apis mellifera Ras opposite (Rop), transcript variant 1, mRNA"
"8715","GB49147","FBO  5",NA,NA,NA,"412923","FBpp0081197","FBgn0026565","XM_396374.4"," PREDICTED: Apis mellifera argininosuccinate synthase-like (LOC412923), mRNA"
"8716","GB49149","FBO  1",NA,"paternal",NA,"413289","FBpp0070483","FBgn0004647","XM_006567988.1"," PREDICTED: Apis mellifera neurogenic locus Notch protein (N), transcript variant X1, mRNA"
"8717","GB49150","FBO  1","Sterile",NA,NA,"409856","FBpp0289753","FBgn0259228","XM_006567978.1"," PREDICTED: Apis mellifera guanine nucleotide-releasing factor 2-like (LOC409856), transcript variant X2, mRNA"
"8718","GB49151","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_003251110.2"," PREDICTED: Apis mellifera TBC1 domain family member 24-like (LOC413791), transcript variant X1, mRNA"
"8719","GB49152","FBO  2",NA,NA,NA,"413791","FBpp0080973","FBgn0032901","XM_006567974.1"," PREDICTED: Apis mellifera TBC1 domain family member 24-like (LOC413791), transcript variant X2, mRNA"
"8720","GB49153","FBO  3",NA,NA,NA,NA,NA,NA,NA,NA
"8721","GB49154","FBO  3",NA,NA,NA,"411613","FBpp0087182","FBgn0040491","XM_395083.5"," PREDICTED: Apis mellifera buffy (LOC411613), mRNA"
"8722","GB49155","FBO  5",NA,NA,NA,"551538","FBpp0071302","FBgn0027084","XM_623933.4"," PREDICTED: Apis mellifera lysyl-tRNA synthetase (Aats-lys), transcript variant X2, mRNA"
"8723","GB49156","FBO  11",NA,NA,NA,"551478","FBpp0077722","FBgn0027592","XM_006567966.1"," PREDICTED: Apis mellifera mediator of RNA polymerase II transcription subunit 15 (MED15), transcript variant X2, mRNA"
"8724","GB49157","FBO  5",NA,NA,NA,"551457","FBpp0086649","FBgn0033901","XM_003251113.2"," PREDICTED: Apis mellifera GDP-fucose protein O-fucosyltransferase 1 (O-fut1), mRNA"
"8725","GB49158","FBO  9",NA,NA,NA,"412267","FBpp0087722","FBgn0021825","XM_395729.5"," PREDICTED: Apis mellifera dynactin subunit 2 (Dctn2), transcript variant X1, mRNA"
"8726","GB49159","FBO  10",NA,NA,NA,"409406","FBpp0076934","FBgn0031145","XM_003251105.2"," PREDICTED: Apis mellifera probable nuclear transport factor 2-like (LOC409406), transcript variant 1, mRNA"
"8727","GB49160","FBO  4",NA,NA,NA,NA,"#N/A","#N/A","XM_392921.5"," PREDICTED: Apis mellifera probable nuclear transport factor 2-like (LOC409406), transcript variant 3, mRNA"
"8728","GB49161","FBO  11",NA,NA,NA,"409404","#N/A","#N/A","XM_003251104.2"," PREDICTED: Apis mellifera aminoacyl tRNA synthetase complex-interacting multifunctional protein 2-like (LOC409404), transcript variant X1, mRNA"
"8729","GB49162","FBO  8",NA,NA,NA,NA,NA,NA,NA,NA
"8730","GB49163","FBO  8",NA,NA,NA,NA,"FBpp0290962","FBgn0260970","XM_006567951.1"," PREDICTED: Apis mellifera e3 ubiquitin-protein ligase UBR3-like (LOC412002), transcript variant X1, mRNA"
"8731","GB49164","FBO  2",NA,NA,NA,"412002","#N/A","#N/A","XM_006567951.1"," PREDICTED: Apis mellifera e3 ubiquitin-protein ligase UBR3-like (LOC412002), transcript variant X1, mRNA"
"8732","GB49165","FBO  10",NA,NA,NA,"410094","FBpp0271764","FBgn0039303","XM_006567946.1"," PREDICTED: Apis mellifera protein RER1-like (LOC410094), transcript variant X1, mRNA"
"8733","GB49166","FBO  1","Sterile",NA,NA,"413829","FBpp0086614","FBgn0033932","XM_397268.4"," PREDICTED: Apis mellifera diuretic hormone receptor-like (LOC413829), mRNA"
"8734","GB49167","FBO  9","Reproductive",NA,NA,"409308","#N/A","#N/A","XM_392826.5"," PREDICTED: Apis mellifera small ubiquitin-related modifier-like (LOC409308), mRNA"
"8735","GB49168","FBO  2","Reproductive",NA,NA,NA,"#N/A","#N/A","XM_001121007.3"," PREDICTED: Apis mellifera uncharacterized LOC725122 (LOC725122), mRNA"
"8736","GB49169","FBO  5",NA,NA,NA,"725122","FBpp0071081","FBgn0027280","XM_001121007.3"," PREDICTED: Apis mellifera uncharacterized LOC725122 (LOC725122), mRNA"
"8737","GB49170","FBO  3",NA,NA,NA,"551125","FBpp0073623","FBgn0010198","XM_003251102.2"," PREDICTED: Apis mellifera 40S ribosomal protein S15Aa-like (LOC551125), transcript variant 1, mRNA"
"8738","GB49171","FBO  1",NA,NA,NA,"551168","FBpp0070126","FBgn0021764","XM_006567953.1"," PREDICTED: Apis mellifera immunoglobulin-like and fibronectin type III domain containing 8 (IGFn3-8), transcript variant X3, mRNA"
"8739","GB49172","FBO  13",NA,NA,NA,"412256","FBpp0072421","FBgn0000541","XM_006567960.1"," PREDICTED: Apis mellifera nucleosome-remodeling factor subunit NURF301-like (LOC412256), transcript variant X2, mRNA"
"8740","GB49173","FBO  3",NA,NA,NA,"412177","#N/A","#N/A","XM_395640.4"," PREDICTED: Apis mellifera 4-aminobutyrate aminotransferase, mitochondrial-like (LOC412177), transcript variant X1, mRNA"
"8741","GB49174","FBO  3",NA,NA,NA,"412265","FBpp0086017","FBgn0034261","XM_006567964.1"," PREDICTED: Apis mellifera uncharacterized LOC412265 (LOC412265), transcript variant X2, mRNA"
"8742","GB49175","FBO  4",NA,NA,NA,"725400","FBpp0077883","FBgn0036992","XM_001121254.3"," PREDICTED: Apis mellifera 4-hydroxyphenylpyruvate dioxygenase-like (LOC725400), mRNA"
"8743","GB49176","FBO  10",NA,NA,NA,NA,"#N/A","#N/A","XM_003251105.2"," PREDICTED: Apis mellifera probable nuclear transport factor 2-like (LOC409406), transcript variant 1, mRNA"
"8744","GB49177","FBO  3",NA,NA,NA,"412266","FBpp0084306","FBgn0039359","XM_003251108.2"," PREDICTED: Apis mellifera ribosomal protein L27 (RpL27), transcript variant X2, mRNA"
"8745","GB49178","FBO  13",NA,NA,NA,"551509","FBpp0075358","FBgn0026738","XM_623903.4"," PREDICTED: Apis mellifera OTU domain-containing protein 6B-like (LOC551509), mRNA"
"8746","GB49179","FBO  1",NA,NA,NA,NA,"FBpp0075434","FBgn0036437","XM_006567967.1"," PREDICTED: Apis mellifera protein PIH1D3-like (LOC102655282), mRNA"
"8747","GB49180","FBO  1",NA,NA,NA,"551597","#N/A","#N/A","XR_411054.1"," PREDICTED: Apis mellifera cysteine-rich secretory protein 1-like (LOC551597), transcript variant X5, misc_RNA"
"8748","GB49182","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"8749","GB49183","FBO  1",NA,"paternal","paternal",NA,"#N/A","#N/A","XM_006567969.1"," PREDICTED: Apis mellifera PH domain leucine-rich repeat protein phosphatase (Phlpp), transcript variant X1, mRNA"
"8750","GB49184","FBO  2",NA,NA,NA,"410926","FBpp0080693","FBgn0032749","XM_006567970.1"," PREDICTED: Apis mellifera PH domain leucine-rich repeat protein phosphatase (Phlpp), transcript variant X2, mRNA"
"8751","GB49185","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XM_006568003.1"," PREDICTED: Apis mellifera putative glycerophosphocholine phosphodiesterase GPCPD1-like (LOC410117), mRNA"
"8752","GB49186","FBO  3",NA,NA,NA,"410117","FBpp0077226","FBgn0031566","XM_006568003.1"," PREDICTED: Apis mellifera putative glycerophosphocholine phosphodiesterase GPCPD1-like (LOC410117), mRNA"
"8753","GB49187","FBO  1",NA,NA,NA,"725895","FBpp0079163","FBgn0031981","XM_006568004.1"," PREDICTED: Apis mellifera multiple EGF-like-domains 8 (Megf8), mRNA"
"8754","GB49188","FBO  3",NA,NA,NA,"552021","FBpp0288481","FBgn0032891","XM_006567971.1"," PREDICTED: Apis mellifera intraflagellar transport 80 homolog (Chlamydomonas) (IFT80), transcript variant X1, mRNA"
"8755","GB49189","FBO  3",NA,NA,NA,NA,"FBpp0070997","FBgn0029925","XM_001121818.3"," PREDICTED: Apis mellifera leucine-rich repeat-containing protein 57-like (LOC726043), mRNA"
"8756","GB49190","FBO  2","Reproductive",NA,NA,"413288","FBpp0085914","FBgn0003044","XM_006567986.1"," PREDICTED: Apis mellifera polycomblike (Pcl), transcript variant X4, mRNA"
"8757","GB49191","FBO  6",NA,NA,NA,NA,NA,NA,NA,NA
"8758","GB49192","FBO  5",NA,NA,NA,"409857","FBpp0070646","FBgn0029714","XM_393347.4"," PREDICTED: Apis mellifera ribosomal RNA small subunit methyltransferase NEP1-like (LOC409857), mRNA"
"8759","GB49193","FBO  13",NA,NA,NA,"551826","FBpp0071074","FBgn0004656","XM_006567991.1"," PREDICTED: Apis mellifera uncharacterized LOC551826 (LOC551826), transcript variant X1, mRNA"
"8760","GB49194","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006567999.1"," PREDICTED: Apis mellifera uncharacterized LOC100578771 (LOC100578771), transcript variant X3, mRNA"
"8761","GB49195","FBO  7",NA,NA,NA,NA,"#N/A","#N/A","XM_006568000.1"," PREDICTED: Apis mellifera uncharacterized LOC100578771 (LOC100578771), transcript variant X4, mRNA"
"8762","GB49196","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"8763","GB49197","FBO  4",NA,NA,NA,NA,"#N/A","#N/A","XM_001123016.3"," PREDICTED: Apis mellifera multidrug resistance-associated protein 1-like (LOC727307), mRNA"
"8764","GB49198","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"8765","GB49199","FBO  5",NA,NA,NA,NA,NA,NA,NA,NA
"8766","GB49200","FBO  7",NA,NA,NA,NA,NA,NA,NA,NA
"8767","GB49201","FBO  5",NA,NA,NA,NA,NA,NA,NA,NA
"8768","GB49202","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"8769","GB49203","FBO  4",NA,NA,NA,NA,NA,NA,NA,NA
"8770","GB49204","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"8771","GB49205","FBO  7",NA,NA,NA,NA,NA,NA,NA,NA
"8772","GB49206","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"8773","GB49207","FBO  1",NA,NA,NA,"724942","FBpp0087635","FBgn0016078","XM_001120841.3"," PREDICTED: Apis mellifera putative phosphatidate phosphatase-like (LOC724942), transcript variant X1, mRNA"
"8774","GB49208","FBO  4",NA,NA,NA,NA,"#N/A","#N/A","XM_006572700.1"," PREDICTED: Apis mellifera uncharacterized LOC102655834 (LOC102655834), partial mRNA"
"8775","GB49209","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"8776","GB49210","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"8777","GB49211","FBO  13",NA,NA,NA,NA,"#N/A","#N/A","XM_001122910.3"," PREDICTED: Apis mellifera nucleolar protein 10-like (LOC727200), mRNA"
"8778","GB49212","FBO  8",NA,NA,NA,NA,NA,NA,NA,NA
"8779","GB49213","FBO  3",NA,NA,NA,NA,"#N/A","#N/A","XM_003250246.2"," PREDICTED: Apis mellifera uncharacterized LOC100577320 (LOC100577320), transcript variant X2, mRNA"
"8780","GB49214","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006565391.1"," PREDICTED: Apis mellifera JNK-interacting protein 3 (syd), transcript variant X2, mRNA"
"8781","GB49215","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"8782","GB49216","FBO  6",NA,NA,NA,NA,"#N/A","#N/A","XM_001121757.3"," PREDICTED: Apis mellifera uncharacterized LOC725973 (LOC725973), transcript variant X1, mRNA"
"8783","GB49217","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006559499.1"," PREDICTED: Apis mellifera rho GTPase-activating protein 100F ortholog (LOC409836), transcript variant X17, mRNA"
"8784","GB49218","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"8785","GB49219","FBO  2",NA,NA,NA,"412162",NA,NA,NA,NA
"8786","GB49220","FBO  3",NA,NA,NA,"724631","FBpp0071518","FBgn0016726","XM_006560849.1"," PREDICTED: Apis mellifera ribosomal protein L29 (RpL29), mRNA"
"8787","GB49221","FBO  9","Reproductive",NA,NA,"725018","FBpp0080807","FBgn0032811","XM_001120920.3"," PREDICTED: Apis mellifera phosphomevalonate kinase-like protein (LOC725018), mRNA"
"8788","GB49222","FBO  9",NA,NA,NA,"412521","FBpp0293514","FBgn0036534","XM_395977.3"," PREDICTED: Apis mellifera decapping protein 2 (Dcp2), mRNA"
"8789","GB49223","FBO  1","Sterile",NA,NA,"725131","FBpp0111540","FBgn0259108","XM_006560850.1"," PREDICTED: Apis mellifera uncharacterized LOC725131 (LOC725131), mRNA"
"8790","GB49224","FBO  20","Sterile",NA,NA,NA,NA,NA,NA,NA
"8791","GB49225","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006560848.1"," PREDICTED: Apis mellifera uncharacterized LOC102653587 (LOC102653587), mRNA"
"8792","GB49226","FBO  4",NA,NA,NA,"551047","FBpp0082765","FBgn0038428","XM_006560847.1"," PREDICTED: Apis mellifera tetratricopeptide repeat protein 1-like (LOC551047), mRNA"
"8793","GB49227","FBO  2",NA,NA,NA,"100577986","FBpp0078552","FBgn0037238","XM_006560846.1"," PREDICTED: Apis mellifera probable sodium/potassium/calcium exchanger CG1090-like (LOC100577986), mRNA"
"8794","GB49229","FBO  5",NA,NA,NA,NA,"#N/A","#N/A","XR_408894.1"," PREDICTED: Apis mellifera uncharacterized LOC102656658 (LOC102656658), transcript variant X2, ncRNA"
"8795","GB49230","FBO  9",NA,NA,NA,"411226","#N/A","#N/A","XM_394700.5"," PREDICTED: Apis mellifera RNA-binding protein orb2 (orb2), mRNA"
"8796","GB49231","FBO  7",NA,NA,NA,NA,"#N/A","#N/A","XM_006560840.1"," PREDICTED: Apis mellifera probable RNA-binding protein orb2-like (LOC724704), mRNA"
"8797","GB49232","FBO  7",NA,NA,NA,NA,"#N/A","#N/A","XM_006560840.1"," PREDICTED: Apis mellifera probable RNA-binding protein orb2-like (LOC724704), mRNA"
"8798","GB49233","FBO  7","Sterile",NA,NA,"724704","#N/A","#N/A","XM_006560840.1"," PREDICTED: Apis mellifera probable RNA-binding protein orb2-like (LOC724704), mRNA"
"8799","GB49234","FBO  5",NA,NA,NA,"100577341","FBpp0070349","FBgn0026089","XM_003249707.2"," PREDICTED: Apis mellifera uncharacterized LOC100577341 (LOC100577341), mRNA"
"8800","GB49235","FBO  4",NA,NA,NA,"413957","FBpp0084909","FBgn0027518","XM_006560834.1"," PREDICTED: Apis mellifera WD repeat-containing protein 24-like (LOC413957), mRNA"
"8801","GB49236","FBO  4",NA,NA,NA,NA,NA,NA,NA,NA
"8802","GB49237","FBO  2","Reproductive",NA,NA,"100577507","#N/A","#N/A","XM_006560832.1"," PREDICTED: Apis mellifera uncharacterized LOC100577507 (LOC100577507), transcript variant X3, mRNA"
"8803","GB49238","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"8804","GB49239","FBO  2",NA,NA,NA,"410140","FBpp0083566","FBgn0027575","XR_408889.1"," PREDICTED: Apis mellifera metabotropic GABA-B receptor subtype 2 (GABA-B-R2), transcript variant X3, misc_RNA"
"8805","GB49240","FBO  3",NA,NA,NA,"550687","FBpp0079406","FBgn0012036","XM_623081.4"," PREDICTED: Apis mellifera aldehyde dehydrogenase (Aldh), transcript variant 1, mRNA"
"8806","GB49241","FBO  5",NA,NA,NA,NA,"#N/A","#N/A","XM_625032.4"," PREDICTED: Apis mellifera thioredoxin reductase 3 (Trxr-3), transcript variant X2, mRNA"
"8807","GB49242","FBO  5",NA,NA,NA,"413958","FBpp0070320","FBgn0025628","XM_006560835.1"," PREDICTED: Apis mellifera thioredoxin reductase 3 (Trxr-3), transcript variant X1, mRNA"
"8808","GB49243","FBO  7",NA,NA,NA,NA,NA,NA,NA,NA
"8809","GB49244","FBO  12",NA,NA,NA,"408939","FBpp0074964","FBgn0036740","XM_392468.5"," PREDICTED: Apis mellifera charged multivesicular body protein 5 (LOC408939), mRNA"
"8810","GB49245","FBO  4","Reproductive",NA,NA,"724862","FBpp0074150","FBgn0030768","XM_001120765.3"," PREDICTED: Apis mellifera transmembrane protein 194A-like (LOC724862), transcript variant X1, mRNA"
"8811","GB49246","FBO  11",NA,NA,NA,"551130","FBpp0088712","FBgn0261649","XM_006560842.1"," PREDICTED: Apis mellifera tincar (tinc), transcript variant X2, mRNA"
"8812","GB49247","FBO  6",NA,NA,NA,NA,NA,NA,NA,NA
"8813","GB49248","FBO  1",NA,NA,NA,"406083","#N/A","#N/A","XM_006560829.1"," PREDICTED: Apis mellifera tachykinin (Tk), transcript variant X1, mRNA"
"8814","GB49249","FBO  3",NA,NA,NA,"409913","FBpp0290236","FBgn0054039","XM_393404.5"," PREDICTED: Apis mellifera COMM domain-containing protein 4-like (LOC409913), mRNA"
"8815","GB49250","FBO  5",NA,NA,NA,"494506","FBpp0081900","FBgn0037933","NM_001011641.1"," Apis mellifera heme oxygenase (Ho), mRNA"
"8816","GB49251","FBO  3",NA,NA,NA,NA,NA,NA,NA,NA
"8817","GB49252","FBO  3",NA,NA,NA,NA,"#N/A","#N/A","XM_003251909.2"," PREDICTED: Apis mellifera twitching mobility protein-like (LOC100576910), mRNA"
"8818","GB49253","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XM_006572425.1"," PREDICTED: Apis mellifera mannose-1-phosphate guanyltransferase-like (LOC102655441), mRNA"
"8819","GB49254","FBO  3",NA,NA,NA,NA,"#N/A","#N/A","XM_006572424.1"," PREDICTED: Apis mellifera uncharacterized LOC102655401 (LOC102655401), mRNA"
"8820","GB49255","FBO  13",NA,NA,NA,"100578112","FBpp0297715","FBgn0032083","XM_006572315.1"," PREDICTED: Apis mellifera adenylate kinase isoenzyme 5-like (LOC100578112), partial mRNA"
"8821","GB49256","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"8822","GB49257","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"8823","GB49258","FBO  2","Reproductive",NA,NA,NA,"#N/A","#N/A","XM_006571438.1"," PREDICTED: Apis mellifera mitochondrial uncoupling protein 2-like (LOC410791), transcript variant X2, mRNA"
"8824","GB49259","FBO  2","Reproductive",NA,NA,"410791","#N/A","#N/A","XM_006571439.1"," PREDICTED: Apis mellifera mitochondrial uncoupling protein 2-like (LOC410791), transcript variant X3, mRNA"
"8825","GB49260","FBO  3","Sterile",NA,NA,"725273","FBpp0296983","FBgn0262720","XM_001120347.3"," PREDICTED: Apis mellifera C-type lectin 1 (CTL1), mRNA"
"8826","GB49261","FBO  1",NA,NA,NA,"100576662","#N/A","#N/A","XM_003251696.2"," PREDICTED: Apis mellifera uncharacterized LOC100576662 (LOC100576662), transcript variant X1, mRNA"
"8827","GB49262","FBO  2",NA,NA,NA,"100577043","#N/A","#N/A","XM_006571436.1"," PREDICTED: Apis mellifera uncharacterized LOC100577043 (LOC100577043), mRNA"
"8828","GB49263","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XM_001121151.3"," PREDICTED: Apis mellifera uncharacterized LOC725283 (LOC725283), mRNA"
"8829","GB49264","FBO  4",NA,NA,NA,"550901","FBpp0076246","FBgn0035951","XM_623296.4"," PREDICTED: Apis mellifera protein phosphatase methylesterase 1-like (LOC550901), transcript variant 1, mRNA"
"8830","GB49265","FBO  8",NA,NA,NA,NA,"FBpp0083390","FBgn0038839","XM_006571435.1"," PREDICTED: Apis mellifera BTB/POZ domain-containing protein KCTD16-like (LOC725415), mRNA"
"8831","GB49266","FBO  7",NA,NA,NA,NA,NA,NA,NA,NA
"8832","GB49267","FBO  11",NA,NA,NA,NA,NA,NA,NA,NA
"8833","GB49268","FBO  6",NA,"paternal",NA,"410788","#N/A","#N/A","XM_006571417.1"," PREDICTED: Apis mellifera NMDA kainate sensitive receptor (LOC410788), transcript variant X1, mRNA"
